"name","namespace","revision","updated","status","chart","app_version"
"vector-frontend-o-m05sln-unleash-proxy","default","8","2024-09-20 16:22:28.182740339 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-unleash-proxy","default","2822","2024-09-20 05:31:46.033441742 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-hoppscotch","default","1","2023-03-30 09:25:22.350825833 +0000 UTC","deployed","vector-hoppscotch-0.1.0","1.16.0"
"vector-issuer-recognition","default","132","2024-09-06 16:45:59.849018386 +0000 UTC","deployed","vector-issuer-recognition-0.1.0","1.0"
"vector-large-models-client","default","154","2024-09-20 08:25:02.510877764 +0000 UTC","deployed","vector-large-models-client-0.1.0","1.0"
"vector-metabase","default","7","2024-08-12 11:39:58.63092946 +0000 UTC","deployed","vector-metabase-0.1.0","1.16.0"
"vector-netchb","default","3","2022-03-22 13:49:03.141395718 +0000 UTC","deployed","vector-netchb-0.1.0","1.0"
"vector-ocr-manage-0yf4r2","default","3","2024-09-18 13:11:34.723095544 +0000 UTC","deployed","vector-ocr-manager-0.1.0","1.0"
"vector-ocr-manager","default","379","2024-09-19 13:49:52.26445905 +0000 UTC","deployed","vector-ocr-manager-0.1.0","1.0"
"vector-ocr-manager-reader","default","180","2024-09-19 13:49:59.041267722 +0000 UTC","deployed","vector-ocr-manager-0.1.0","1.0"
"vector-payment-integrations","default","75","2024-07-19 14:15:27.962253219 +0000 UTC","deployed","vector-payment-integrations-0.1.0","0.1"
"vector-ports-service","default","16","2022-10-03 08:41:25.347817244 +0000 UTC","deployed","vector-ports-service-0.1.0","1.16.0"
"vector-rules","default","18","2024-09-23 09:58:47.389931674 +0000 UTC","deployed","vector-rules-0.1.0","1.0"
"vector-sentence-tagger","default","5","2020-09-17 18:01:11.384928992 +0000 UTC","deployed","vector-sentence-tagger-0.1.0","1.0"
"vector-splice","default","240","2024-09-16 19:43:36.96343894 +0000 UTC","deployed","vector-splice-0.1.0","1.0"
"vector-standardize","default","480","2024-09-19 10:12:49.29584136 +0000 UTC","deployed","vector-standardize-0.1.0","1.0"
"vector-website","default","42","2021-07-02 11:08:42.785630886 +0000 UTC","deployed","vector-website-0.1.0","1.0"
"workflow-builder","default","184","2024-09-23 09:02:17.294686387 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-anrj3b","default","1","2024-09-22 21:08:07.16388414 +0000 UTC","failed","workflow-builder-0.1.0","1.0"
"workflow-builder-anrj3b-audit","default","1","2024-09-22 21:04:17.033014562 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-anrj3b-db-be","default","1","2024-09-22 20:54:44.503209128 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-anrj3b-rabbitmq","default","1","2024-09-22 21:03:28.241775609 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-anrj3b-redis","default","1","2024-09-22 21:02:42.358116011 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-fwk-543","default","7","2024-09-23 05:01:50.436815171 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-fwk-543-audit","default","7","2024-09-23 05:01:21.786775612 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-fwk-543-be","default","7","2024-09-23 05:04:01.265524507 +0000 UTC","failed","vector-backend-0.1.0","1.0"
"workflow-builder-fwk-543-db-be","default","1","2024-09-18 09:01:45.005817178 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-fwk-543-fe","default","6","2024-09-20 11:50:28.120880453 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-fwk-543-rabbitmq","default","7","2024-09-23 05:01:16.900290244 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-fwk-543-redis","default","7","2024-09-23 05:01:09.876492057 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-fwk-546","default","4","2024-09-23 11:42:54.162682379 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-fwk-546-audit","default","4","2024-09-23 11:42:20.521321018 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-fwk-546-be","default","4","2024-09-23 11:43:05.938792649 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
